Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603,-24.350000,-107.200000,180.000000,bottom
C2,22pF,C_0603,-27.750000,-108.800000,180.000000,bottom
C3,22pF,C_0603,-24.350000,-108.800000,180.000000,bottom
C4,100nF,C_0603,-29.969670,-98.330330,45.000000,bottom
C5,100nF,C_0603,-46.800000,-109.300000,225.000000,bottom
C6,100nF,C_0603,-32.560000,-95.850000,45.000000,bottom
C7,100nF,C_0603,-43.719670,-95.969670,315.000000,bottom
C8,4.7uF,C_0603,-22.900000,-100.950000,270.000000,bottom
D1,1N4148WS,D_SOD-323,-42.600000,-35.800000,270.000000,bottom
D2,1N4148WS,D_SOD-323,-66.400000,-35.800000,270.000000,bottom
D3,1N4148WS,D_SOD-323,-85.400000,-35.800000,270.000000,bottom
D4,1N4148WS,D_SOD-323,-104.400000,-35.800000,270.000000,bottom
D5,1N4148WS,D_SOD-323,-123.400000,-35.800000,270.000000,bottom
D6,1N4148WS,D_SOD-323,-142.400000,-35.800000,270.000000,bottom
D7,1N4148WS,D_SOD-323,-158.500000,-39.100000,270.000000,bottom
D8,1N4148WS,D_SOD-323,-180.400000,-35.800000,270.000000,bottom
D9,1N4148WS,D_SOD-323,-199.400000,-35.800000,270.000000,bottom
D10,1N4148WS,D_SOD-323,-218.400000,-35.800000,270.000000,bottom
D11,1N4148WS,D_SOD-323,-237.400000,-35.800000,270.000000,bottom
D12,1N4148WS,D_SOD-323,-256.400000,-35.800000,270.000000,bottom
D13,1N4148WS,D_SOD-323,-275.400000,-35.800000,270.000000,bottom
D14,1N4148WS,D_SOD-323,-294.400000,-35.800000,270.000000,bottom
D15,1N4148WS,D_SOD-323,-45.000000,-54.800000,270.000000,bottom
D16,1N4148WS,D_SOD-323,-71.200000,-54.800000,270.000000,bottom
D17,1N4148WS,D_SOD-323,-90.200000,-54.800000,270.000000,bottom
D18,1N4148WS,D_SOD-323,-109.200000,-54.800000,270.000000,bottom
D19,1N4148WS,D_SOD-323,-128.200000,-54.800000,270.000000,bottom
D20,1N4148WS,D_SOD-323,-147.200000,-54.800000,270.000000,bottom
D21,1N4148WS,D_SOD-323,-166.200000,-54.800000,270.000000,bottom
D22,1N4148WS,D_SOD-323,-185.200000,-54.800000,270.000000,bottom
D23,1N4148WS,D_SOD-323,-204.200000,-54.800000,270.000000,bottom
D24,1N4148WS,D_SOD-323,-223.200000,-54.800000,270.000000,bottom
D25,1N4148WS,D_SOD-323,-242.200000,-54.800000,270.000000,bottom
D26,1N4148WS,D_SOD-323,-261.200000,-54.800000,270.000000,bottom
D27,1N4148WS,D_SOD-323,-280.200000,-54.800000,270.000000,bottom
D28,1N4148WS,D_SOD-323,-311.000000,-54.800000,270.000000,bottom
D29,1N4148WS,D_SOD-323,-47.400000,-73.800000,270.000000,bottom
D30,1N4148WS,D_SOD-323,-76.000000,-73.800000,270.000000,bottom
D31,1N4148WS,D_SOD-323,-95.000000,-73.800000,270.000000,bottom
D32,1N4148WS,D_SOD-323,-114.000000,-73.800000,270.000000,bottom
D33,1N4148WS,D_SOD-323,-133.000000,-73.800000,270.000000,bottom
D34,1N4148WS,D_SOD-323,-152.000000,-73.800000,270.000000,bottom
D35,1N4148WS,D_SOD-323,-171.000000,-73.800000,270.000000,bottom
D36,1N4148WS,D_SOD-323,-190.000000,-73.800000,270.000000,bottom
D37,1N4148WS,D_SOD-323,-209.000000,-73.800000,270.000000,bottom
D38,1N4148WS,D_SOD-323,-228.000000,-73.800000,270.000000,bottom
D39,1N4148WS,D_SOD-323,-247.000000,-73.800000,270.000000,bottom
D40,1N4148WS,D_SOD-323,-266.000000,-73.800000,270.000000,bottom
D41,1N4148WS,D_SOD-323,-285.000000,-73.800000,270.000000,bottom
D42,1N4148WS,D_SOD-323,-313.400000,-73.800000,270.000000,bottom
D43,1N4148WS,D_SOD-323,-42.600000,-92.800000,270.000000,bottom
D44,1N4148WS,D_SOD-323,-66.400000,-92.800000,270.000000,bottom
D45,1N4148WS,D_SOD-323,-85.400000,-92.800000,270.000000,bottom
D46,1N4148WS,D_SOD-323,-104.400000,-92.800000,270.000000,bottom
D47,1N4148WS,D_SOD-323,-123.400000,-92.800000,270.000000,bottom
